IMU calibration complete.
IMU initialized successfully!
BARO sensor initialized!
Failed to initialize SD card.
SD card initialized successfully!
Ready to start!!
Waiting for button to start logging...
Button Pressed. logging starting...
Error opening file for logging.
magX,magY,magZ

-12.00,-8.00,28.00


-12.00,-8.00,28.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


21.00,-8.00,-30.00


21.00,-8.00,-30.00


21.00,-8.00,-30.00


15.00,-12.00,-43.00


15.00,-12.00,-43.00


15.00,-12.00,-43.00


2.00,-20.00,-52.00


2.00,-20.00,-52.00


2.00,-20.00,-52.00


-9.00,-24.00,-58.00


-9.00,-24.00,-58.00


-9.00,-24.00,-58.00


-9.00,-24.00,-58.00


-24.00,-24.00,-63.00


-24.00,-24.00,-63.00


-24.00,-24.00,-63.00


-41.00,-21.00,-69.00


-41.00,-21.00,-69.00


-41.00,-21.00,-69.00


-54.00,-18.00,-61.00


-54.00,-18.00,-61.00


-54.00,-18.00,-61.00


-54.00,-18.00,-61.00


-60.00,-13.00,-53.00


-60.00,-13.00,-53.00


-60.00,-13.00,-53.00


-63.00,-13.00,-49.00


-63.00,-13.00,-49.00


-63.00,-13.00,-49.00


-63.00,-13.00,-49.00


-67.00,-9.00,-46.00


-67.00,-9.00,-46.00


-67.00,-9.00,-46.00


-66.00,-10.00,-47.00


-66.00,-10.00,-47.00


-66.00,-10.00,-47.00


-69.00,-11.00,-37.00


-69.00,-11.00,-37.00


-69.00,-11.00,-37.00


-69.00,-11.00,-37.00


-75.00,-9.00,-33.00


-75.00,-9.00,-33.00


-75.00,-9.00,-33.00


-73.00,-10.00,-32.00


-73.00,-10.00,-32.00


-73.00,-10.00,-32.00


-77.00,-9.00,-27.00


-77.00,-9.00,-27.00


-77.00,-9.00,-27.00


-77.00,-9.00,-27.00


-76.00,-11.00,-21.00


-76.00,-11.00,-21.00


-76.00,-11.00,-21.00


-80.00,-14.00,-14.00


-80.00,-14.00,-14.00


-80.00,-14.00,-14.00


-80.00,-14.00,-14.00


-81.00,-12.00,0.00


-81.00,-12.00,0.00


-81.00,-12.00,0.00


-83.00,-8.00,1.00


-83.00,-8.00,1.00


-83.00,-8.00,1.00


-84.00,-5.00,5.00


-84.00,-5.00,5.00


-84.00,-5.00,5.00


-84.00,-5.00,5.00


-87.00,-5.00,-1.00


-87.00,-5.00,-1.00


-87.00,-5.00,-1.00


-89.00,-3.00,-6.00


-89.00,-3.00,-6.00


-89.00,-3.00,-6.00


-89.00,-3.00,-6.00


-87.00,-4.00,-17.00


-87.00,-4.00,-17.00


-87.00,-4.00,-17.00


-86.00,-2.00,-17.00


-86.00,-2.00,-17.00


-86.00,-2.00,-17.00


-91.00,-3.00,-27.00


-91.00,-3.00,-27.00


-91.00,-3.00,-27.00


-91.00,-3.00,-27.00


-92.00,-3.00,-27.00


-92.00,-3.00,-27.00


-92.00,-3.00,-27.00


-94.00,0.00,-30.00


-94.00,0.00,-30.00

