IMU calibration complete.
IMU initialized successfully!
Ready to start!!
Waiting for button to start the program...
New Logging is starting!

magX,magY,magZ

-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-5.00,3.00,58.00


-6.00,7.00,54.00


-6.00,7.00,54.00


-6.00,7.00,54.00


-6.00,7.00,54.00


-6.00,7.00,54.00


-6.00,7.00,54.00


-6.00,7.00,54.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,4.00,56.00


-5.00,5.00,53.00


-5.00,5.00,53.00


-5.00,5.00,53.00


-5.00,5.00,53.00


-5.00,5.00,53.00


-5.00,5.00,53.00


-5.00,5.00,53.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,57.00


-4.00,3.00,54.00


-4.00,3.00,54.00


-4.00,3.00,54.00


-4.00,3.00,54.00


-4.00,3.00,54.00


-4.00,3.00,54.00


-4.00,3.00,54.00


-6.00,4.00,53.00


-6.00,4.00,53.00


-6.00,4.00,53.00


-6.00,4.00,53.00


-6.00,4.00,53.00


-6.00,4.00,53.00


-6.00,4.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-7.00,5.00,53.00


-8.00,2.00,56.00


-8.00,2.00,56.00


-8.00,2.00,56.00


-8.00,2.00,56.00


-8.00,2.00,56.00


-8.00,2.00,56.00


-8.00,2.00,56.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,2.00,57.00


-9.00,5.00,52.00


-9.00,5.00,52.00


-9.00,5.00,52.00


-9.00,5.00,52.00


-9.00,5.00,52.00


-9.00,5.00,52.00


-9.00,5.00,52.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,2.00,55.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,53.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-12.00,1.00,52.00


-13.00,1.00,54.00


-13.00,1.00,54.00


-13.00,1.00,54.00


-13.00,1.00,54.00


-13.00,1.00,54.00


-13.00,1.00,54.00


-13.00,1.00,54.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-12.00,4.00,52.00


-14.00,2.00,52.00


-14.00,2.00,52.00


-14.00,2.00,52.00


-14.00,2.00,52.00


-14.00,2.00,52.00


-14.00,2.00,52.00


-14.00,2.00,52.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,4.00,53.00


-14.00,3.00,57.00


-14.00,3.00,57.00


-14.00,3.00,57.00


-14.00,3.00,57.00


-14.00,3.00,57.00


-14.00,3.00,57.00


-14.00,3.00,57.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-15.00,1.00,52.00


-17.00,3.00,51.00


-17.00,3.00,51.00


-17.00,3.00,51.00


-17.00,3.00,51.00


-17.00,3.00,51.00


-17.00,3.00,51.00


-17.00,3.00,51.00


-17.00,5.00,49.00


-17.00,5.00,49.00


-17.00,5.00,49.00


-17.00,5.00,49.00


-17.00,5.00,49.00


-17.00,5.00,49.00


-17.00,5.00,49.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-19.00,5.00,53.00


-20.00,5.00,52.00


-20.00,5.00,52.00


-20.00,5.00,52.00


-20.00,5.00,52.00


-20.00,5.00,52.00


-20.00,5.00,52.00


-20.00,5.00,52.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-19.00,3.00,55.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-20.00,6.00,52.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-24.00,5.00,51.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-25.00,10.00,52.00


-26.00,12.00,50.00


-26.00,12.00,50.00


-26.00,12.00,50.00


-26.00,12.00,50.00


-26.00,12.00,50.00


-26.00,12.00,50.00


-26.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-25.00,12.00,50.00


-24.00,11.00,50.00


-24.00,11.00,50.00


-24.00,11.00,50.00


-24.00,11.00,50.00


-24.00,11.00,50.00


-24.00,11.00,50.00


-24.00,11.00,50.00


-25.00,12.00,52.00


-25.00,12.00,52.00


-25.00,12.00,52.00


-25.00,12.00,52.00


-25.00,12.00,52.00


-25.00,12.00,52.00


-25.00,12.00,52.00


-25.00,15.00,52.00


-25.00,15.00,52.00


-25.00,15.00,52.00


-25.00,15.00,52.00


